pitch,funding_amount,industry,city
hospital management software,243000.0,Technology,Chennai
foreign exchange services,220000.0,Consumer Internet,New Delhi
mobile based logistics service,3100000.0,Logistics,New Delhi
agriculture supply chain solutions,783000.0,Technology,Gurgaon
app based cab aggregation service,36000000.0,Consumer Internet,Gurgaon
personal loans & emi solutions platform,312000.0,Technology,Mumbai
unsecured small business loans,385000.0,Consumer Internet,Bangalore
building material online store,187000.0,eCommerce,New Delhi
speech recognition startup,6800000.0,Technology,Chennai
e-tech platform,734000.0,Consumer Internet,Vadodara
cloud data protection and management solutions,80000000.0,Technology,Pune
men grooming product etailer,2300000.0,eCommerce,New Delhi
software & mobile app development platform,500000.0,Technology,Bangalore
mpos solutions provider,16000000.0,Technology,Bangalore
online printing marketplace,750000.0,Consumer Internet,Chennai
online doctor discovery platform,125000.0,Consumer Internet,Bangalore
restaurant & hotel crm platform,7000000.0,Technology,Pune
end to end health and wellness platform.,25000000.0,Consumer Internet,Bangalore
healthtech iot platform,750000.0,Technology,Mumbai
budget hotel aggregator platform,34000000.0,Consumer Internet,Bangalore
genomics research and diagnostics solutions,30000000.0,Technology,Bangalore
peer to peer lending platform,1000000.0,Consumer Internet,Bangalore
energy management solutions provider,2600000.0,Technology,Ahmedabad
online marketplace for automobiles,20000000.0,eCommerce,Gurgaon
online marketplace for food and grocery,8500000.0,eCommerce,Bangalore
b2b marketplace for industrial products,12000000.0,eCommerce,Noida
hyperlocal home services provider,1000000.0,Consumer Internet,Mumbai
digital media video platform,1000000.0,Consumer Internet,Bangalore
workshop management software platform,3000000.0,Technology,Hyderabad
salon & spa aggregation & discovery platform,2250000.0,Consumer Internet,Pune
video content discovery platform,464000.0,Consumer Internet,Mumbai
digital payments solutions,18500000.0,Technology,Bangalore
construction site operations and analytics platform,540000.0,Technology,Bangalore
designer consumer products marketplace,1700000.0,eCommerce,Bangalore
sales solutions for fashion brands,2000000.0,Technology,Bangalore
enterprise banking solutions,4000000.0,Technology,Pune
consumer leasing platform,10000000.0,Consumer Internet,Bangalore
gamified learning app,600000.0,Technology,Bangalore
online payments platform,700000.0,Technology,Gurgaon
online marketplace for construction material,200000.0,eCommerce,Gurgaon
mobile-first enterprise communication platform,1200000.0,Consumer Internet,Bangalore
mobile learning app,35000000.0,Consumer Internet,Bangalore
budget hotels brand & aggregator platform,25000000.0,Consumer Internet,New Delhi
assisted learning startup,200000.0,Consumer Internet,Bangalore
online pharmacy,15000000.0,eCommerce,Gurgaon
beauty services marketplace,1250000.0,Consumer Internet,Mumbai
"online marketplace for renting bikes, electronics & appliances",234000.0,eCommerce,Bangalore
online travel & holiday booking platform,50000000.0,Consumer Internet,Mumbai
online used car marketplace,1000000.0,eCommerce,Gurgaon
co-working spaces,1200000.0,Consumer Internet,Bangalore
mobile app for mental health,1000000.0,Consumer Internet,New Delhi
online lending platform,650000.0,Consumer Internet,New Delhi
health and fitness discovery platform,600000.0,Consumer Internet,Mumbai
health coaching programs,232000.0,Consumer Internet,Hyderabad
crm software for healthcare space,1500000.0,Technology,Hyderabad
unified digital health platform,1500000.0,Technology,Bangalore
app-based investment advisory services,350000.0,Consumer Internet,Bangalore
travel & adventure planning platform,300000.0,Consumer Internet,Mumbai
ambulance aggregator and medical taxi provider,250000.0,Consumer Internet,Hyderabad
online lending platform,7800000.0,Consumer Internet,Ahmedabad
artificial intelligence,500000.0,Technology,Bangalore
hygiene care product manufacturer,1000000.0,Healthcare,New Delhi
online rooms aggregation platform,776000.0,Consumer Internet,Mumbai
online insurance brokerage platform,15000000.0,Consumer Internet,Mumbai
csr and sustainability management platform,5500000.0,Technology,Bangalore
cab aggregation app,50000000.0,Consumer Internet,Bangalore
micro food delivery platform,500000.0,Consumer Internet,Noida
money lending platform,12300000.0,Consumer Internet,Bangalore
mobile saas\\xc2\\xa0 ecommerce platform for smes,1000000.0,eCommerce,Bangalore
personal finance platform,100000.0,Consumer Internet,Mumbai
maritime solutions,2000000.0,Technology,Noida
cloud-based product discovery platform,12500000.0,Technology,Bangalore
enterprise human resources management platform,4000000.0,Technology,Hyderabad
mobile based ecommerce platform,300000.0,Consumer Internet,Bangalore
events ticketing platform,5200000.0,Consumer Internet,Mumbai
fashion etailer,2400000.0,eCommerce,Mumbai
health-tech platform,4500000.0,Consumer Internet,Bangalore
artificial intelligence based platform,215000.0,Technology,Hyderabad
point-of-sale services,31000000.0,Technology,Mumbai
open source language for data science and machine learning,4600000.0,Technology,Bangalore
consumer lending platform,2000000.0,Consumer Internet,Mumbai
local homes booking platform,500000.0,Consumer Internet,Bangalore
lending platform for salaried professionals,4000000.0,Consumer Internet,Mumbai
mobile based social networking platform,1000000.0,Consumer Internet,Mumbai
gesture based\\xc2\\xa0 smartwatch manufacturer,5000000.0,Technology,Hyderabad
online marketplace,71000000.0,eCommerce,Bangalore
holiday & vacation resort aggregator,4000000.0,Consumer Internet,Noida
personal finance app,5000000.0,Consumer Internet,New Delhi
automobile parts marketplace,311000.0,eCommerce,Pune
online marketplace for financial products,3000000.0,Consumer Internet,Mumbai
ai based personal assistant,2000000.0,Consumer Internet,Bangalore
online fitness marketplace,1000000.0,Consumer Internet,New Delhi
in-video discovery platform,5000000.0,Technology,Bangalore
mobile services marketplace,21000000.0,Consumer Internet,Gurgaon
online rummy playing website,73700000.0,Consumer Internet,Hyderabad
buying portal for smes,10000000.0,eCommerce,Gurgaon
enterprise mobility solutions,1500000.0,Technology,Hyderabad
truck network company,10000000.0,Logistics,Bangalore
real estate risk assessment platform,390000.0,Consumer Internet,Bangalore
cab aggregation app,104500000.0,Consumer Internet,Bangalore
software & mobile development services,1000000.0,Technology,Bangalore
money savings & management app,233000.0,Consumer Internet,Bangalore
private label fashion etailer,700000.0,eCommerce,Gurgaon
cold-press juices manufacturer,1000000.0,Food & Beverage,New Delhi
omni-channel platform,5000000.0,Technology,Bangalore
health-tech platform,3200000.0,Technology,Bangalore
energy analytics startup,50000.0,Technology,New Delhi
video intelligence platform,1400000.0,Consumer Internet,Noida
online marketplace,7700000.0,eCommerce,Gurgaon
community building platform,600000.0,Consumer Internet,Bangalore
online lending platform,4000000.0,Consumer Internet,Pune
legal services to smes & individuals,5000000.0,Consumer Internet,New Delhi
digital money transfer platform,466000.0,Consumer Internet,Mumbai
cloud ecommerce platform,1000000.0,eCommerce,Bangalore
project management tool,500000.0,Technology,Bangalore
online payment gateway,3000000.0,Technology,Mumbai
fashion ecommerce portal,500000.0,eCommerce,Mumbai
hyperlocal delivery and logistics mobile app,250000.0,Consumer Internet,Chennai
online lending platform,5300000.0,Consumer Internet,Mumbai
online luxury tea etailer,1000000.0,ECommerce,Mumbai
consumer lending platform,1000000.0,Consumer Internet,Bangalore
ecommerce logistics provider,30000000.0,Logistics,New Delhi
"cashless, paperless solutions for housing societies",500000.0,Consumer Internet,Mumbai
hyperlocal discovery platform,6600000.0,Consumer Internet,Gurgaon
food delivery platform,1000000.0,Consumer Internet,Mumbai
online tutoring services,580000.0,Consumer Internet,Mumbai
non-banking financial company,8000000.0,Finance,Gurgaon
online medical equipment supplier,3500000.0,eCommerce,Mumbai
subscription based delivery platform,1500000.0,Consumer Internet,Mumbai
online food delivery platform,80000000.0,Consumer Internet,Bangalore
online pharmacy,5000000.0,eCommerce,Kolkata
hyperlocal discovery\\xc2\\xa0 & rewards platform,7000000.0,Consumer Internet,Gurgaon
online & mobile based lending platform,3800000.0,Consumer Internet,Mumbai
executive education provider,8200000.0,Education,Mumbai
home healthcare provider,40000000.0,Healthcare,Noida
fresh-produce distribution platform,2700000.0,Food & Beverage,Chennai
fin-tech solutions,6100000.0,Technology,Bangalore
interactive tech-support guides,3690000.0,Technology,Bangalore
app based logistics & distribution platform,7000000.0,Technology,Pune
online truck aggregator & booking platform,500000.0,Consumer Internet,Ahmedabad
app based doctor consulting platform,500000.0,Consumer Internet,New Delhi
food delivery platform,3000000.0,Consumer Internet,Mumbai
home-based healthcare provider,21000000.0,Healthcare,Bangalore
mobile gaming startup,5000000.0,Consumer Internet,Bangalore
online pharmacy,18000000.0,eCommerce,Mumbai
online rental discovery platform,4600000.0,Consumer Internet,Gurgaon
saas platform for smes,150000.0,Technology,Bangalore
online lending platform for sme,2300000.0,Consumer Internet,Bangalore
b2b agri-marketing platform,5500000.0,eCommerce,Bangalore
software solutions for m&as,100000.0,Technology,Bangalore
online lingerie & sleepwear etailer,4000000.0,eCommerce,New Delhi
third party logistics provider,4500000.0,Logistics,Mumbai
online skill assessment platform,4500000.0,Consumer Internet,Bangalore
software-as-a-service platform,2100000.0,Technology,Noida
travel packages & planner marketplace,7700000.0,Consumer Internet,Gurgaon
cab aggregator app,260000000.0,Consumer Internet,Bangalore
mobile app for schools,310000.0,Consumer Internet,Jaipur
online medical assistance platform,1500000.0,Consumer Internet,Gurgaon
healthy snacks manufacturer,175000.0,Food & Beverages,Mumbai
online salon discovery & booking services,620000.0,Consumer Internet,New Delhi
lending platform for small businesses,4650000.0,Consumer Internet,Ahmedabad
cyber security solutions using ai,2000000.0,Technology,New Delhi
markerless ar platform,600000.0,Technology,Bangalore
virtual reality startup,1250000.0,Technology,Bangalore
iot platform for bus,155000.0,Technology,New Delhi
online food delivery,3000000.0,Consumer Internet,Mumbai
video based collaborative learning,1000000.0,Consumer Internet,Bangalore
qsr chain and online food delivery,6300000.0,Food & Beverage,Pune
branded budget hotels aggregator,250000000.0,Consumer Internet,Gurgaon
learning mobile app for students,3200000.0,Consumer Internet,Mumbai
coworking spaces booking platform,245000.0,Consumer Internet,Gurgaon
mobile services marketplace,3100000.0,Consumer Internet,Gurgaon
collaborative co-working spaces,20000000.0,Consumer Internet,Mumbai
customer data analytics software,11000000.0,Technology,Mumbai
public and private events creation app,1500000.0,Consumer Internet,Chennai
online fashion marketplace,1000000.0,eCommerce,New Delhi
on-demand food delivery,3600000.0,Consumer Internet,Mumbai
online educational courses,1500000.0,Consumer Internet,Bangalore
healthcare related content platform,750000.0,Consumer Internet,New Delhi
app based cab aggregator,330000000.0,Consumer Internet,Bangalore
online jon portal,10000000.0,Consumer Internet,Bangalore
women healthcare & information portal,1500000.0,Consumer Internet,Hyderabad
packaging artwork management software,500000.0,Technology,Chennai
micro lending platform,2500000.0,Consumer Internet,Gurgaon
online credit score & lending platform,7600000.0,Consumer Internet,Chennai
employee onboarding and engagement platform,275000.0,Technology,Bangalore
ecommerce mobile app builder,6700000.0,Technology,Ahmedabad
ecommerce marketplace,200000000.0,ECommerce,Bangalore
health diagnostic solutions,19500000.0,Healthcare,Mumbai
online counseling platform,1200000.0,Consumer Internet,Mumbai
fashion and lifestyle discovery platform,150000.0,Consumer Internet,Gurgaon
gadget insurance & repair services platform,1790000.0,Consumer Internet,Mumbai
direct-to-farmer mobile-based retail platform,10000000.0,Technology,Pune
"dsp, tv analytics & cross-platform advertising",10000000.0,Technology,Bangalore
cyber security solutions,1000000.0,Technology,Noida
online vehicle services booking platform,30000.0,Consumer Internet,New Delhi
intra-city logistics provider,3650000.0,Consumer Internet,Bangalore
technology enabled logistics company,15000000.0,Logistics,Gurgaon
intelligent sales prospecting platform,1100000.0,Technology,Chennai
subscription based home delivery platform,120000.0,Consumer Internet,Mumbai
instant mobile apps store,500000.0,Consumer Internet,Bangalore
online real estate portal,4500000.0,Consumer Internet,Mumbai
female hygiene product manufacturer,443000.0,Healthcare,New Delhi
sdn solutions,600000.0,Technology,Bangalore
tech accessories e-tailer,3350000.0,eCommerce,Hyderabad
on-demand home services provider,100000.0,Consumer Internet,Kolkata
loyalty rewards app,1350000.0,Consumer Internet,Mumbai
digital media publication for women,3100000.0,Consumer Internet,New Delhi
fitness mobile app,200000.0,Consumer Internet,Gurgaon
online payment gateway,3670000.0,Technology,Mumbai
on-demand beauty services,5300000.0,Consumer Internet,Mumbai
tech-enabled social enterprise,191000.0,Consumer Internet,Bangalore
online travel search engine,15000000.0,Consumer Internet,Gurgaon
marketing research company,56000000.0,Technology,Pune
supply chain automation platform,382000.0,Technology,Bangalore
tech enabled fulfilment & logistics solutions,100000000.0,Technology,New Delhi
online fashion marketplace,500000.0,ECommerce,Mumbai
on-demand personal assistant service,300000.0,Consumer Internet,Gurgaon
vacation trip planning platform,325000.0,Consumer Internet,Mumbai
self-checkout ecommerce app,650000.0,eCommerce,Bangalore
online meat ordering platform,10000000.0,ECommerce,Bangalore
doctor & hospital search platform,50000.0,Consumer Internet,Bangalore
offline business aggregator app,155000.0,Consumer Internet,Mumbai
turnkey solar solutions,3000000.0,Technology,Mumbai
online grocer,7000000.0,ECommerce,Bangalore
erp solutions provider,25000000.0,Technology,Pune
online lending platform,2500000.0,Consumer Internet,Bangalore
online counselling platform,450000.0,Consumer Internet,Mumbai
online travel agent marketplace,10000000.0,Consumer Internet,Noida
"online travel, adventure & activities portal",1000000.0,Consumer Internet,Bangalore
iot based energy monitoring & control,1200000.0,Technology,Gurgaon
automobile classifieds portal,55000000.0,Consumer Internet,Mumbai
online education portal,40000.0,Consumer Internet,Gurgaon
women apparel & lifestyle etailer,6000000.0,ECommerce,Bangalore
women fashion portal,8000000.0,ECommerce,Bangalore
online food delivery platform,500000.0,ECommerce,Bangalore
medical automation platform,5800000.0,Technology,Bangalore
decision sciences analytics solutions,7500000.0,Technology,Bangalore
on demand laundry & dry cleaning services,3200000.0,Consumer Internet,Chennai
mortgage offering platform,15000000.0,Consumer Internet,Gurgaon
parenting mobile app,330000.0,Consumer Internet,New Delhi
expense management solution,400000.0,Technology,Bangalore
online bike & car services provider,300000.0,Consumer Internet,Chennai
online payment gateway,22400000.0,Consumer Internet,Mumbai
online consumer lending platform,6500000.0,Consumer Internet,Bangalore
drone operations management platform,350000.0,Technology,Missourie
online marketplace for used cars,3000000.0,Consumer Internet,Mumbai
online media,3000000.0,Consumer Internet,Bangalore
ar & vr platform,500000.0,Technology,Hyderabad
online media platform,400000.0,Consumer Internet,Bangalore
online furniture store,15200000.0,ECommerce,Bangalore
solution provider for pet needs,40000.0,eCommerce,Mumbai
first aid care app,40000.0,Consumer Internet,Gurgaon
online marketplace,38700000.0,eCommerce,Bangalore
mobile balance checking app,15000000.0,Consumer Internet,Gurgaon
photo sharing for groups,40000.0,Consumer Internet,Bangalore
smart parking platform,1100000.0,Consumer Internet,New Delhi
online food ordering & delivery portal,375000.0,Consumer Internet,Gurgaon
online jewellery etailer,94000.0,ECommerce,Bangalore
live online coaching classes,1000000.0,Consumer Internet,New Delhi
online freight aggregator,70000000.0,Logistics,Bangalore
online tax filing platform,366000.0,Consumer Internet,Pune
iot & saas solutions for transportation industry,825000.0,Technology,Panaji
supply chain solutions provider,13000000.0,Logistics,Mumbai
mobile wallet,57000000.0,Consumer Internet,Mumbai
movie ticket booking platform,35000000.0,Consumer Internet,Chennai
saas based retail analytics solutions,800000.0,Technology,Mumbai
e-surveillance services provider,5000000.0,Technology,Mumbai
small business loans marketplace platform,2250000.0,Consumer Internet,Gurgaon
doctor & clinic discovery portal,100000.0,Consumer Internet,Bangalore
online eyewear retailer,3500000.0,eCommerce,Bangalore
real-time mobile app management platform,1350000.0,Consumer Internet,Bangalore
property search aggregator platform,10000000.0,Consumer Internet,Gurgaon
iot smart logistics and asset management company,4100000.0,Technology,Mumbai
gadgets repair & service booking platform,440000.0,Consumer Internet,Bangalore
online learning platform,4500000.0,Consumer Internet,Bangalore
branded pg accomodation booking platform,5000000.0,Consumer Internet,Bangalore
custom & modular furniture platform,700000.0,Consumer Internet,Mumbai
online learning platform,800000.0,Consumer Internet,Bangalore
parenting info & social network,2000000.0,Consumer Internet,Bangalore
online healthcare platform,55000000.0,Consumer Internet,Bangalore
food discovery platform,441000.0,Consumer Internet,New Delhi
online car service platform,500000.0,Consumer Internet,Gwalior
logistics and truck aggregator platform,147000.0,Consumer Internet,Bangalore
online tea etailer,650000.0,eCommerce,New Delhi
cloud-based construction,300000.0,Technology,Bangalore
online marketplace for wedding venues and vendors,1000000.0,Consumer Internet,Mumbai
social messaging platform,50000.0,Consumer Internet,New Delhi
maths learning program,15000000.0,Technology,New Delhi
mobile-based social platform for sports,500000.0,Consumer Internet,Bangalore
platform to take businesses online,10000000.0,Consumer Internet,Hyderabad
online transport vehicle booking platform,4000000.0,Consumer Internet,Bangalore
agri decision support solution for farmers,4000000.0,Technology,Pune
security-as-a-service solution provider,2200000.0,Technology,Bangalore
ecommerce marketplace,8800000.0,eCommerce,Ahmedabad
health tests booking platform & epharmacy,1400000.0,Consumer Internet,Ahmedabad
hyper-local handyman service provider,300000.0,Consumer Internet,Chennai
iot solutions for home automation applications,106000.0,Technology,Mumbai
cloud based virtual servers,22500.0,Technology,New Delhi
used furniture marketplace,68000.0,eCommerce,Mumbai
smart online address tags,18000.0,Consumer Internet,Bangalore
online pet products store,2000000.0,eCommerce,New Delhi
healthcare software system,1200000.0,Technology,Noida
online instant personal loan provider,4000000.0,Consumer Internet,New Delhi
lock screen rewards mobile app,3600000.0,Consumer Internet,New Delhi
entry-level job seekers platform,100000.0,Consumer Internet,New Delhi
transport and logistics mobile app,3000000.0,Technology,Mumbai
online grocery store,1400000.0,eCommerce,Bangalore
mobile contacts management app,147000.0,Consumer Internet,New Delhi
self-driven car services booking portal,9000000.0,Consumer Internet,New Delhi
online investment advisory platform,440000.0,Consumer Internet,Bangalore
online consumer lending platform,6500000.0,Consumer Internet,Mumbai
online car servicing booking platform,250000.0,Consumer Internet,Gurgaon
fashion apparel etailer,6000000.0,eCommerce,New Delhi
content management & productivity platform,450000.0,Technology,Bangalore
health-tech platform,250000.0,Technology,Jaipur
education & learning tech platform,10000000.0,Technology,Bangalore
p2p lending platform,200000.0,Consumer Internet,New Delhi
online doctor consulting platform,2000000.0,Consumer Internet,Gurgaon
cold press juice manufacturer & seller,2000000.0,Food & Beverage,New Delhi
online lending platform,10000000.0,Consumer Internet,Gurgaon
online business-to-business (b2b) marketplace,11100000.0,eCommerce,Gurgaon
hotel booking platform,150000.0,Consumer Internet,Gurgaon
fitness center aggregator & booking mobile app,1000000.0,Consumer Internet,New Delhi
online share & commodity broking platform,297000.0,Consumer Internet,Indore
financial services for unorganized workforce,100000.0,Consumer Internet,Pune
drone manufacturing,10000000.0,Technology,Mumbai
media technology solutions,35000000.0,Technology,Mumbai
digital entertainment company,3000000.0,Technology,Mumbai
cloud data center solutions provider,23000000.0,Technology,Hyderabad
holiday packages provider,123000.0,Consumer Internet,New Delhi
rental property search portal,7400000.0,Consumer Internet,Bangalore
online jewellery marketplace,50000.0,eCommerce,Mumbai
online learning platform,15000000.0,Consumer Internet,Bangalore
online to offline marketing platform,500000.0,Consumer Internet,Bangalore
online vegetable etailer,162000.0,eCommerce,Chennai
career planning & assessment platform,324000.0,Consumer Internet,New Delhi
personal care product etailer,300000.0,eCommerce,Bangalore
cloud based crm for agencies,2000000.0,Technology,Bangalore
video streaming platform,1200000.0,Consumer Internet,Mumbai
on-demand delivery service,10000000.0,Logistics,Gurgaon
saas ecommerce retail app,5000000.0,eCommerce,Bangalore
fitness mobile app,1000000.0,Consumer Internet,Bangalore
on-demand washing & dry cleaning services,200000.0,Consumer Internet,New Delhi
saas based helpdesk services,55000000.0,Consumer Internet,Chennai
on-demand washing & dry cleaning services,150000.0,Consumer Internet,Bangalore
saas-based web optimisation and marketing platform,6000000.0,Technology,Chennai
online insurance portal,10000000.0,Consumer Internet,Noida
last mile delivery network,1000000.0,Logistics,Bangalore
ai-based software as a service solution provider,150000.0,Technology,New Delhi
online ordering & delivery of medicines,45000.0,eCommerce,New Delhi
packaging material marketplace,3000000.0,eCommerce,Mumbai
technology based logistics platform,75000000.0,Technology,Gurgaon
online car sharing platform,3000000.0,Consumer Internet,Mumbai
online job portal,2000000.0,Consumer Internet,New Delhi
online property search portal,12000000.0,Consumer Internet,Gurgaon
golf session online bookings platform,1000000.0,Consumer Internet,New Delhi
banking & fintech platform,3000000.0,Technology,Singapore
tech driven logistic & distribution platform,2000000.0,Technology,Pune
used furniture & appliances marketplace,6000000.0,eCommerce,Bangalore
mobile gaming portal,4000000.0,Technology,Bangalore
cloud based\\xc2\\xa0 health monitoring platform,5000000.0,Technology,Bangalore
fashion etailer,13500000.0,eCommerce,New Delhi
product photography mobile app,147000.0,Consumer Internet,Mumbai
insurance marketplace for the rural sector,1000000.0,Finance,New Delhi
"online food, grocery ordering & delivery",90000.0,Consumer Internet,Gurgaon
cash flow management solution for businesses,650000.0,Technology,Gurgaon
real estate portal,5000000.0,Consumer Internet,Mumbai
short news mobile app,147000.0,Consumer Internet,Bangalore
saas-based predictive analytics platform,5000000.0,Technology,Bangalore
app based networking platform,147000.0,Consumer Internet,Mumbai
cloud telephony platform,20000000.0,Consumer Internet,Bangalore
bot protection solutions,600000.0,Technology,Mumbai
b2b marketplace,10000000.0,eCommerce,Bangalore
local language social networking platform,4000000.0,Consumer Internet,Mumbai
proximity based\\xc2\\xa0 rewards platform,100000.0,Consumer Internet,Bangalore
b2b wholesale apparel marketplace,2000000.0,eCommerce,Jaipur
savings platform for medical expenses,3000000.0,Consumer Internet,New Delhi
mobile app for saas based training,1000000.0,Consumer Internet,Goa
hyperlocal shopping app,963000.0,eCommerce,Bangalore
ethnic indian fashion marketplace,150000.0,eCommerce,Bangalore
"ai, machine learning solutions",200000.0,Technology,Bangalore
ai-driven b2b marketing platform,2000000.0,Technology,Bangalore
quick service restaurants,218000.0,Food & Beverage,Noida
engineering interview facilitation platform,100000.0,Technology,Pune
online math learn,440000.0,Consumer Internet,Vadodara
campus social networking app,500000.0,Consumer Internet,Bangalore
online car repair marketplace,500000.0,Consumer Internet,Mumbai
airline ticket aggregator,5000000.0,Consumer Internet,Bangalore
speech recognition solutions,2000000.0,Technology,Chennai
art & craft marketplace,200000.0,eCommerce,Gurgaon
online gifting platform,450000.0,eCommerce,Bangalore
online gifting platform,2000000.0,eCommerce,Noida
industrial & home products marketplace,4200000.0,eCommerce,Noida
internet service provider,3000000.0,Consumer Internet,Hyderabad
foreign currency payments platform,1000000.0,Consumer Internet,Mumbai
online food ordering platform,2500000.0,Consumer Internet,Gurgaon
"mobile phone theft, damage protection platform",3750000.0,Consumer Internet,Mumbai
mobile health technology solutions,1200000.0,Technology,Mumbai
data sciences platform,300000.0,Technology,Noida
used furniture & appliances marketplace,1050000.0,eCommerce,Bangalore
baby monitoring devices manufacturer,100000.0,Technology,Bangalore
sports training & technology,2200000.0,Technology,Mumbai
online funds raising platform,15000000.0,Consumer Internet,Mumbai
online hair extension etailer,375000.0,eCommerce,New Delhi
internet-based tv streaming service provider,50000000.0,Consumer Internet,Bangalore
branded camping location aggregator,500000.0,Consumer Internet,Gurgaon
online fashion brand store,2000000.0,ecommerce,Noida
waterless car washing solution,450000.0,Technology,Ahmedabad
online news portal,25000.0,Consumer Internet,New Delhi
api platform,7000000.0,Consumer Internet,Bangalore
education sector lending,6000000.0,Finance,Hyderabad
vernacular content mobile app,25000000.0,Consumer Internet,Bangalore
motorbike rental platform,227000.0,Consumer Internet,Hyderabad
internet & fresher job platform,1000000.0,Consumer Internet,Mumbai
app based travel discovery and transactions platform,300000.0,Consumer Internet,Gurgaon
equipment rental and leasing company,16000000.0,Others,Mumbai
3d printing solutions for edu space,150000.0,Technology,New Delhi
solar energy harnessing products marketplace,2500000.0,Technology,Noida
online furniture rental platform,30000000.0,Consumer Internet,Bangalore
personal wealth management platform & app,1100000.0,Consumer Internet,Bangalore
wearable technology platform & devices,750000.0,Technology,Mumbai
hyperlocal\\xc2\\xa0 communication mobile app,300000.0,Consumer Internet,Mumbai
health test discovery & ordering service,3000000.0,Consumer Internet,Gurgaon
online food ordering platform/app,7500000.0,Consumer Internet,Mumbai
invoice discounting marketplace,6000000.0,eCommerce,Bangalore
credit report info platform,500000.0,Consumer Internet,Mumbai
android utility app suite creator,100000.0,Technology,Gurgaon
social media marketing platform,1000000.0,Consumer Internet,New Delhi
online tea etailer,1000000.0,eCommerce,Ahmedabad
doctor consulting platform,700000.0,Consumer Internet,Bangalore
truck fleet operation platform,971000.0,Technology,Chennai
electric vehicle manufacturer,27000000.0,Technology,Bangalore
lifi based wireless communication provider,100000.0,Technology,New Delhi
electric bike manufacturer,100000.0,Technology,Chennai
clinical and wearable diagnostic product creator,100000.0,Technology,Bangalore
business intelligence and data science startup,750000.0,Technology,Bangalore
talent discovery & audition management platform,1000000.0,Consumer Internet,Mumbai
personal digital assistant,6700000.0,Technology,Kolkata
women\xe2\x80\x99s fashion apparel etailer,1350000.0,eCommerce,Chennai
online gift vouchers platform,500000.0,Consumer Internet,Mumbai
hyperlocal doorstep beauty services provider,900000.0,Consumer Internet,Mumbai
online fashion retailer,8000000.0,eCommerce,Bangalore/ Bangkok
online doctor consulting platform,500000.0,Consumer Internet,New Delhi
online certification programs,6000000.0,Education,Bangalore
study material marketplace,315000.0,eCommerce,Gurgaon
online test preparation platform,670000.0,Education,Bangalore
online construction materials marketplace,200000.0,eCommerce,Bangalore
online learning app,50000000.0,Education,Bangalore
social health networking platform,150000.0,Consumer Internet,New Delhi
online health & wellness platform,450000.0,Consumer Internet,Noida
personal styling online platform,448000.0,Consumer Internet,Mumbai
online advertising solutions,3000000.0,Technology,Pune
online beauty products etailer,12300000.0,eCommerce,Mumbai
beauty salon aggregator,300000.0,Consumer Internet,Noida
online deals & discount platform,2500000.0,Consumer Internet,Gurgaon
jobs & skill validation platform,150000.0,Consumer Internet,Bangalore
employee engagement platform,200000.0,Consumer Internet,Gurgaon
online furniture rental startup,5000000.0,eCommerce,Bangalore
on-demand logistics service provider,1500000.0,Consumer Internet,Bangalore
city based news aggregator app,100000.0,Consumer Internet,Hyderabad
online doctor consultations,1000000.0,Consumer Internet,Gurgaon
couple socialization app,750000.0,Consumer Internet,Bangalore
online food ordering & delivery,15000000.0,Consumer Internet,Bangalore
online gadget repair services marketplace,500000.0,eCommerce,Hyderabad
shared living and working spaces platform,1000000.0,Consumer Internet,Bangalore
furniture etailer,31300000.0,eCommerce,Mumbai
online book etailer,298000.0,eCommerce,Ahmedabad
mobile-based social networking platform,350000.0,Consumer Internet,New Delhi
on-demand gadget repair services platform,6000000.0,Consumer Internet,New Delhi
mobile game publisher for indian audience,425000.0,Technology,Bangalore
mobile app development company,1000000.0,Technology,Bangalore
saas application for pharma industry,745000.0,Technology,Pune
crm saas platform,6000000.0,Technology,Chennai
parenting network platform,1580000.0,Consumer Internet,Bangalore
mens grooming products etailer,500000.0,eCommerce,Ahmedabad
out-station taxi rental platform,1000000.0,Consumer Internet,Indore
virtual health clinic for women,1000000.0,Consumer Internet,Hyderabad
cloud based data protection solution,51000000.0,Technology,Pune
local commerce platform,180000.0,eCommerce,New Delhi
bitcoin wallet,1500000.0,Consumer Internet,Bangalore
enterprise cloud solutions,19000000.0,Technology,Mumbai
online pharmacy & health marketplace,12000000.0,eCommerce,Gurgaon
doctor & clinic\\xc2\\xa0 discovery platform,200000.0,Consumer Internet,Bangalore
gadget repair services platform,275000.0,Consumer Internet,Pune
online women\\xe2\\x80\\x99s fashion marketplace,3000000.0,eCommerce,Bangalore
hyperlocal grocery delivery platform,2500000.0,Consumer Internet,Pune
online job and career platform for women,1800000.0,Consumer Internet,Noida
retail food & snack offline centres,1000000.0,Food & Beverage,Mumbai
waste recycle management platform,225000.0,Consumer Internet,Gurgaon
mobile based bollywood discovery platform,890000.0,Consumer Internet,Mumbai
food delivery platform,500000.0,Consumer Internet,Bangalore
travel ticket booking software,27000.0,Technology,Kerala
indoor skydiving sports provider,40000.0,Others,Mumbai
"original art, digital prints etailer",445000.0,eCommerce,Gurgaon
community services platform,200000.0,Consumer Internet,Mumbai
photo sharing mobile app,500000.0,Consumer Internet,Bangalore
men\\xe2\\x80\\x99s grooming product etailer,600000.0,eCommerce,New Delhi
online ticket booking platform,7000000.0,Consumer Internet,Bangalore
